bench_name,model_cycle,temperature,num_completions,max_rollout_depth,max_requests_per_attempt,max_dollar_budget,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3341,0,431,0.000533475
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3341,0,392,0.00053055
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3341,3200,494,0.0019782
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3341,3200,425,0.0019730249999999998
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3341,1920,441,0.0013982250000000001
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3341,0,460,0.00053565
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3341,0,332,0.00052605
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3341,0,410,0.0005319
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3341,0,477,0.000536925
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3341,3200,444,0.00197445
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3341,3200,453,0.001975125
59,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3341,3200,1203,0.0020313749999999998
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3309,3072,399,0.001908675
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3309,3072,317,0.001902525
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3309,3200,423,0.0019680749999999997
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3309,3200,379,0.0019647749999999998
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3309,3200,402,0.0019665
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3309,3200,464,0.00197115
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3309,3200,441,0.001969425
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3309,3200,320,0.00196035
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3309,0,468,0.00053145
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3309,3200,453,0.0019703249999999998
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3309,3200,13033,0.002913825
116,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3309,3200,457,0.0019706249999999997
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3330,3200,411,0.0019703249999999998
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3330,3072,451,0.0019157249999999998
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3330,3072,448,0.0019154999999999999
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3330,3072,461,0.001916475
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3330,3200,481,0.001975575
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3330,3200,450,0.0019732499999999997
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3330,3200,451,0.0019733249999999997
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3330,3200,429,0.001971675
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3330,3200,440,0.0019725
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3330,3200,417,0.0019707749999999997
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3330,3200,1430,0.00204675
126,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3330,3072,1984,0.0020307
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3313,3072,420,0.00191085
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3313,3072,420,0.00191085
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3313,3200,400,0.00196695
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3313,3200,366,0.0019644
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3313,3200,410,0.0019676999999999997
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3313,3200,392,0.00196635
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3313,3200,369,0.001964625
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3313,3200,343,0.0019626749999999997
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3313,3072,387,0.001908375
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3313,3200,445,0.0019703249999999998
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3313,3072,398,0.0019092
95,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3313,3200,403,0.001967175
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3251,3072,340,0.0018955499999999998
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3251,3072,310,0.0018932999999999999
