bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
59,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2225,2176,325,0.00036554999999999997
59,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2225,2176,473,0.00045434999999999996
59,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2225,2176,399,0.00040994999999999996
59,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2225,0,341,0.0005383499999999999
59,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2225,2176,308,0.00035534999999999994
59,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,1,1,2225,0,504,0.00063615
59,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,3,3,6675,6400,15249,0.00967065
59,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,3,3,6675,6016,9324,0.006144449999999999
59,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,14,14,36856,30208,63204,0.0411852
59,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2225,0,294,0.0085025
59,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2225,2176,298,0.0058224999999999996
59,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2225,2176,270,0.005542499999999999
59,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2225,2176,327,0.0061125
59,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2225,2176,281,0.0056524999999999995
59,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2225,2176,362,0.0064624999999999995
59,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2225,2176,330,0.006142499999999999
59,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2225,2176,310,0.0059425
59,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2225,2176,276,0.0056025
59,o3-2025-04-16,1.0,0,0,True,True,1,1,2230,2176,1692,0.014731999999999999
59,o3-2025-04-16,1.0,0,1,True,True,1,1,2230,2176,2530,0.021435999999999997
59,o3-2025-04-16,1.0,0,2,True,True,1,1,2230,2048,1732,0.015243999999999999
59,o3-2025-04-16,1.0,1,0,True,True,1,1,2230,2176,1749,0.015188
59,o3-2025-04-16,1.0,1,1,True,True,1,1,2230,2176,2189,0.018708
59,o3-2025-04-16,1.0,1,2,True,True,1,1,2230,2176,2934,0.024668
59,o3-2025-04-16,1.0,3,0,True,True,2,2,4460,4352,4260,0.036472
59,o3-2025-04-16,1.0,3,1,True,True,1,1,2230,0,3737,0.034356
59,o3-2025-04-16,1.0,3,2,True,True,3,3,6690,6528,5250,0.045588000000000004
116,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2203,2176,445,0.00043424999999999996
116,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2203,1920,322,0.00037965
116,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2203,2176,370,0.00038924999999999995
116,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2203,0,531,0.00064905
116,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2203,1920,445,0.00045345
116,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,2,2,5066,4096,928,0.0010095
116,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,7,7,15421,12544,31552,0.020303549999999997
116,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,1,1,2203,1920,648,0.00057525
116,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,10,10,22030,21504,59382,0.0373209
116,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2203,2048,177,0.0047174999999999995
116,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2203,2176,233,0.005117499999999999
116,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2203,2176,204,0.004827499999999999
116,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2203,2176,228,0.005067499999999999
116,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2203,2048,131,0.004257499999999999
116,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2203,2176,157,0.004357499999999999
116,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2203,2176,146,0.0042474999999999995
116,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2203,2176,201,0.0047975
116,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2203,2176,190,0.004687499999999999
116,o3-2025-04-16,1.0,0,0,True,True,1,1,2208,2176,732,0.007008
116,o3-2025-04-16,1.0,0,1,True,True,1,1,2208,2176,1104,0.009984
116,o3-2025-04-16,1.0,0,2,True,True,1,1,2208,0,640,0.009536
116,o3-2025-04-16,1.0,1,0,True,True,2,2,4416,4352,2235,0.020184
116,o3-2025-04-16,1.0,1,1,True,True,1,1,2208,2048,1258,0.011408
116,o3-2025-04-16,1.0,1,2,True,True,1,1,2208,2176,957,0.008808
116,o3-2025-04-16,1.0,3,0,True,True,1,1,2208,2176,1429,0.012584
116,o3-2025-04-16,1.0,3,1,True,True,1,1,2208,2176,1136,0.010239999999999999
116,o3-2025-04-16,1.0,3,2,True,True,1,1,2208,2176,988,0.009056
126,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,18,18,64378,45824,8358,0.011234699999999999
126,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,37,37,135056,87168,18024,0.024535199999999993
126,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,34,34,124342,89088,16713,0.021997499999999996
126,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,17,17,60555,43648,8050,0.010639649999999999
126,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2221,2176,428,0.00042675
126,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,7,7,21328,16128,2771,0.0036522
126,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,6,6,13326,13056,13466,0.0090993
